compound,smiles
evodiamine,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
evodiamine,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
evodiamine,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
evodiamine,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
evodiamine,CN1[C@@H]2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glabridin,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
glycyrrhetinic acid,CC(CC(=O)/C=C(\\C)/[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O)C(=O)O
