herb_en,herb_cn,pinyin,property,compound,"target (Protein,Enzyme,receptor)",pchembl,pubchem_cid,smiles,MW,LogP,TPSA,HBA,HBD,DL TCMSP
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,GABA-A receptor; anion channel,5.52,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,Adenosine receptor A1,5.52,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,Rattus norvegicus,5.47,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,Adenosine receptor A2a,5.12,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,Mus musculus,4.97,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,Estrogen receptor,4.85,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,Lysozyme C,4.75,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Matricaria chamomilla,洋甘菊,Yang Gan Ju,Cold,apigenin,MCF 7.00,4.02,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,270.24,2.7,,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,Arachidonate 12-lipoxygenase,7.82,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,Polyunsaturated fatty acid lipoxygenase ALOX15B,6.58,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,Human immunodeficiency virus type 1 integrase,5.92,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,Human immunodeficiency virus type 1 integrase,5.37,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,GABA-A receptor; anion channel,5.25,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,Polyunsaturated fatty acid 5-lipoxygenase,5,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
